step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
140,49824,1120,0.02577339708898217,1.0,1.0,,,,,,,,,
141,50280,1128,0.029795102189028904,1.0,1.0,,,,,,,,,
142,50672,1136,0.030262306896038354,1.0,1.0,,,,,,,,,
143,51128,1144,0.02817149959929338,0.875,0.875,,,,,,,,,
144,51520,1152,0.021140518337100123,1.0,1.0,,,,,,,,,
145,51912,1160,0.023102970826633585,1.0,1.0,0.027367212688783185,1.0,1.0,,,,,,
146,52304,1168,0.0394700782962415,0.875,0.875,,,,,,,,,
147,52696,1176,0.03607341172678086,0.75,0.75,,,,,,,,,
148,52960,1184,0.04154920623437647,0.875,0.875,,,,,,,,,
149,53224,1192,0.03669116288801888,0.875,0.875,,,,,,,,,
150,53424,1200,0.04993340514988328,0.875,0.875,,,,,,,,,
151,53688,1208,0.028642728371778507,1.0,1.0,,,,,,,,,
152,53952,1216,0.041305687628337175,0.875,0.875,,,,,,,,,
153,54344,1224,0.036410105186672204,0.875,0.875,0.029670358593866693,1.0,1.0,,,,,,
154,54608,1232,0.04197707825165707,0.875,0.875,,,,,,,,,
155,54936,1240,0.02794448035383539,1.0,1.0,,,,,,,,,
156,55264,1248,0.04426675972559315,0.625,0.625,,,,,,,,,
157,55592,1256,0.02648769778230417,1.0,1.0,,,,,,,,,
158,56112,1264,0.020376609184254445,1.0,1.0,,,,,,,,,
159,56504,1272,0.030975320743891647,0.75,0.75,,,,,,,,,
160,56896,1280,0.02573494614456043,1.0,1.0,,,,,,,,,
161,57160,1288,0.035430457908660166,0.875,0.875,0.040421580513939265,0.75,0.75,,,,,,
162,57552,1296,0.030766334113365396,0.875,0.875,,,,,,,,,
163,57944,1304,0.026897265627436964,0.875,0.875,,,,,,,,,
164,58272,1312,0.04682313861558214,0.875,0.875,,,,,,,,,
165,58664,1320,0.020976970323439065,1.0,1.0,,,,,,,,,
166,58992,1328,0.024821680652908983,1.0,1.0,,,,,,,,,
167,59384,1336,0.01643111355175885,1.0,1.0,,,,,,,,,
168,59712,1344,0.03599625435657799,0.875,0.875,,,,,,,,,
169,60168,1352,0.02030858564926998,1.0,1.0,0.04134169739244195,0.75,0.75,,,,,,
170,60432,1360,0.05339871636591852,0.75,0.75,,,,,,,,,
171,60696,1368,0.03180412955582142,0.875,0.875,,,,,,,,,
172,60832,1376,0.0539454519256833,0.875,0.875,,,,,,,,,
173,61160,1384,0.03118695738585666,1.0,1.0,,,,,,,,,
174,61488,1392,0.027138854837132388,1.0,1.0,,,,,,,,,
175,61880,1400,0.03330830447734722,0.875,0.875,,,,,,,,,
176,62208,1408,0.03226918545761146,0.875,0.875,,,,,,,,,
177,62536,1416,0.039687879832345056,0.875,0.875,0.04686077366268728,0.75,0.75,,,,,,
178,62800,1424,0.047591254242797726,0.75,0.75,,,,,,,,,
179,63128,1432,0.036423628791264484,0.875,0.875,,,,,,,,,
180,63520,1440,0.030966777004177853,1.0,1.0,,,,,,,,,
181,63784,1448,0.038329821734951114,0.875,0.875,,,,,,,,,
182,64112,1456,0.041282290080096574,0.75,0.75,,,,,,,,,
183,64440,1464,0.034039528827997864,0.75,0.75,,,,,,,,,
184,64768,1472,0.036542243817116286,0.875,0.875,,,,,,,,,
185,65032,1480,0.03397258126642555,0.875,0.875,0.036504751219326864,0.875,0.875,,,,,,
186,65424,1488,0.02610963416465287,0.875,0.875,,,,,,,,,
187,65752,1496,0.030821719387604397,0.875,0.875,,,,,,,,,
188,66080,1504,0.031670194270387586,0.875,0.875,,,,,,,,,
189,66344,1512,0.03436487347669754,0.875,0.875,,,,,,,,,
190,66672,1520,0.04460181359085254,0.875,0.875,,,,,,,,,
191,67000,1528,0.03714040897798259,0.875,0.875,,,,,,,,,
192,67392,1536,0.024440617277966037,0.875,0.875,,,,,,,,,
193,67656,1544,0.04265195380372461,0.75,0.75,0.03478592004549379,0.875,0.875,,,,,,
194,68112,1552,0.019862112508729164,1.0,1.0,,,,,,,,,
195,68504,1560,0.025115528584089285,1.0,1.0,,,,,,,,,
196,68832,1568,0.03537140582903521,0.875,0.875,,,,,,,,,
197,69096,1576,0.040072796604654286,0.875,0.875,,,,,,,,,
198,69424,1584,0.01928208561835345,1.0,1.0,,,,,,,,,
199,69816,1592,0.029902324253343975,1.0,1.0,,,,,,,,,
200,70016,1600,0.04785434718787049,0.875,0.875,,,,,,,,,
201,70344,1608,0.03562263224087656,0.875,0.875,0.026291777688078583,1.0,1.0,,,,,,
202,70672,1616,0.023730016584740957,1.0,1.0,,,,,,,,,
203,71128,1624,0.03553623877370617,0.875,0.875,,,,,,,,,
204,71456,1632,0.044731205197284005,0.75,0.75,,,,,,,,,
205,71784,1640,0.025284097210154864,1.0,1.0,,,,,,,,,
206,72048,1648,0.05165426682062389,0.75,0.75,,,,,,,,,
207,72376,1656,0.03190292980428785,0.875,0.875,,,,,,,,,
208,72704,1664,0.023610857740743084,1.0,1.0,,,,,,,,,
209,73032,1672,0.02639227232296253,1.0,1.0,0.024482084790506634,1.0,1.0,,,,,,
210,73488,1680,0.021879895873301268,0.875,0.875,,,,,,,,,
211,73816,1688,0.043371388563246,0.875,0.875,,,,,,,,,
212,74144,1696,0.044837368981912734,0.625,0.625,,,,,,,,,
213,74472,1704,0.03416303791786777,0.75,0.75,,,,,,,,,
214,74800,1712,0.03042117341730045,0.875,0.875,,,,,,,,,
215,75192,1720,0.03353877767978702,0.875,0.875,,,,,,,,,
216,75456,1728,0.025664335729488813,1.0,1.0,,,,,,,,,
217,75848,1736,0.02355206960977133,1.0,1.0,0.03265202734284685,0.875,0.875,,,,,,
218,76304,1744,0.02440269519154494,1.0,1.0,,,,,,,,,
219,76632,1752,0.03465394738977193,0.875,0.875,,,,,,,,,
220,77024,1760,0.024938688714270633,0.875,0.875,,,,,,,,,
221,77352,1768,0.028125829527620227,1.0,1.0,,,,,,,,,
222,77616,1776,0.05096102095310926,0.75,0.75,,,,,,,,,
223,77944,1784,0.022919368986506015,1.0,1.0,,,,,,,,,
224,78400,1792,0.018697275312276492,1.0,1.0,,,,,,,,,
225,78792,1800,0.03761521738426685,0.875,0.875,0.027901983330181488,1.0,1.0,,,,,,
226,79184,1808,0.03628954096629362,0.875,0.875,,,,,,,,,
227,79640,1816,0.030861369601386412,1.0,1.0,,,,,,,,,
228,80032,1824,0.016593583464079225,1.0,1.0,,,,,,,,,
229,80296,1832,0.025233264721609885,1.0,1.0,,,,,,,,,
230,80688,1840,0.04147114056705808,0.75,0.75,,,,,,,,,
231,81016,1848,0.02607086797058582,1.0,1.0,,,,,,,,,
232,81280,1856,0.027309858374028412,1.0,1.0,,,,,,,,,
233,81736,1864,0.029917128342328524,1.0,1.0,0.026340639954141806,0.875,0.875,,,,,,
234,82064,1872,0.0405447861959692,0.75,0.75,,,,,,,,,
235,82328,1880,0.04129979857461876,0.875,0.875,,,,,,,,,
236,82592,1888,0.03731150700521539,0.875,0.875,,,,,,,,,
237,82792,1896,0.05399953237380639,0.75,0.75,,,,,,,,,
238,83056,1904,0.025154712003568423,1.0,1.0,,,,,,,,,
239,83384,1912,0.031502338588703424,0.875,0.875,,,,,,,,,
240,83648,1920,0.03411849607771729,1.0,1.0,,,,,,,,,
241,83976,1928,0.043855689964999334,0.625,0.625,0.03879238671268104,0.875,0.875,,,,,,
242,84304,1936,0.05593461752391886,0.625,0.625,,,,,,,,,
243,84568,1944,0.054712149136212244,0.75,0.75,,,,,,,,,
244,84832,1952,0.03378268908127211,1.0,1.0,,,,,,,,,
245,85096,1960,0.04057584370491896,0.875,0.875,,,,,,,,,
246,85424,1968,0.027483381580910644,0.875,0.875,,,,,,,,,
247,85880,1976,0.018709119414140465,1.0,1.0,,,,,,,,,
248,86272,1984,0.031216328067045353,0.75,0.75,,,,,,,,,
249,86664,1992,0.0382753605024603,0.75,0.75,0.028334440419033248,1.0,1.0,,,,,,
250,87056,2000,0.024922471904828856,1.0,1.0,,,,,,,,,
251,87320,2008,0.04943731958395802,0.75,0.75,,,,,,,,,
252,87648,2016,0.042396310543816075,0.875,0.875,,,,,,,,,
253,87976,2024,0.03272112675584503,0.875,0.875,,,,,,,,,
254,88304,2032,0.030433161143271714,1.0,1.0,,,,,,,,,
255,88696,2040,0.032573850739863706,0.75,0.75,,,,,,,,,
256,89024,2048,0.029979348545108225,0.875,0.875,,,,,,,,,
257,89352,2056,0.03802609276365547,0.875,0.875,0.031697393363075595,0.75,0.75,,,,,,
258,89744,2064,0.025797294652341707,0.875,0.875,,,,,,,,,
259,90072,2072,0.04083874161401764,0.875,0.875,,,,,,,,,
260,90464,2080,0.03425137524597328,0.875,0.875,,,,,,,,,
261,90728,2088,0.042146469716681165,0.75,0.75,,,,,,,,,
262,91120,2096,0.02809319752462519,1.0,1.0,,,,,,,,,
263,91512,2104,0.03726636888956515,0.875,0.875,,,,,,,,,
264,91968,2112,0.037942370447794284,0.625,0.625,,,,,,,,,
265,92296,2120,0.04153530255891383,1.0,1.0,0.04732228784356266,0.75,0.75,,,,,,
266,92688,2128,0.02893590848562705,1.0,1.0,,,,,,,,,
267,93080,2136,0.028552480841196184,1.0,1.0,,,,,,,,,
268,93408,2144,0.041651621191304,0.75,0.75,,,,,,,,,
269,93800,2152,0.029240996687052153,0.875,0.875,,,,,,,,,
270,94064,2160,0.036024827966757586,0.875,0.875,,,,,,,,,
271,94328,2168,0.041636391655192714,0.875,0.875,,,,,,,,,
272,94720,2176,0.02663393566559535,1.0,1.0,,,,,,,,,
273,94984,2184,0.03545574057552585,0.875,0.875,0.029593517297413205,1.0,1.0,,,,,,
274,95376,2192,0.024543081941228593,0.875,0.875,,,,,,,,,
275,95832,2200,0.027306643787804726,0.875,0.875,,,,,,,,,
276,96160,2208,0.025451156871480633,1.0,1.0,,,,,,,,,
277,96424,2216,0.03667356153193396,0.875,0.875,,,,,,,,,
278,96752,2224,0.03961346016800962,0.875,0.875,,,,,,,,,
279,97080,2232,0.03201273523973941,0.875,0.875,,,,,,,,,
280,97280,2240,0.028742790344792112,1.0,1.0,,,,,,,,,
281,97736,2248,0.033177162143734416,0.75,0.75,0.030748242498708087,0.875,0.875,,,,,,
282,98064,2256,0.03485011667292565,0.875,0.875,,,,,,,,,
283,98392,2264,0.046908791608060704,0.75,0.75,,,,,,,,,
284,98848,2272,0.03215864677447826,0.75,0.75,,,,,,,,,
285,99176,2280,0.028933746418100786,1.0,1.0,,,,,,,,,
286,99504,2288,0.03685190508665982,0.875,0.875,,,,,,,,,
287,99832,2296,0.02677956562713371,1.0,1.0,,,,,,,,,
288,100160,2304,0.037464779897476555,0.75,0.75,,,,,,,,,
289,100552,2312,0.03137232635405477,0.75,0.75,0.04209379428561078,0.75,0.75,,,,,,
290,100944,2320,0.025033465567879224,0.875,0.875,,,,,,,,,
291,101208,2328,0.041552825942053465,0.75,0.75,,,,,,,,,
292,101600,2336,0.04081430614945324,0.75,0.75,,,,,,,,,
293,101992,2344,0.021090910221034088,1.0,1.0,,,,,,,,,
294,102384,2352,0.02894607171988658,1.0,1.0,,,,,,,,,
295,102904,2360,0.02347534733399243,1.0,1.0,,,,,,,,,
296,103232,2368,0.03121711889002472,1.0,1.0,,,,,,,,,
297,103496,2376,0.05736846725267243,0.625,0.625,0.040900585595591114,0.875,0.875,,,,,,
298,103888,2384,0.031917068543431626,0.875,0.875,,,,,,,,,
299,104088,2392,0.03435589842187862,1.0,1.0,,,,,,,,,
300,104480,2400,0.028068404774821833,1.0,1.0,,,,,,,,,
301,104808,2408,0.04656187260826118,0.75,0.75,,,,,,,,,
302,105136,2416,0.024662073002080433,1.0,1.0,,,,,,,,,
303,105464,2424,0.022608794376021247,1.0,1.0,,,,,,,,,
304,105920,2432,0.016861784724169413,1.0,1.0,,,,,,,,,
305,106312,2440,0.04023686762646927,0.75,0.75,0.04666567926367861,0.75,0.75,,,,,,
306,106640,2448,0.03292085638921708,0.875,0.875,,,,,,,,,
307,107096,2456,0.020192889618130202,1.0,1.0,,,,,,,,,
308,107424,2464,0.03521110179531388,0.875,0.875,,,,,,,,,
309,107752,2472,0.04233805698208744,0.625,0.625,,,,,,,,,
310,108016,2480,0.04130730722579756,0.875,0.875,,,,,,,,,
311,108344,2488,0.02728804716083687,1.0,1.0,,,,,,,,,
312,108608,2496,0.0364308332278597,0.875,0.875,,,,,,,,,
313,109064,2504,0.02149423745947258,1.0,1.0,0.0384932737895239,1.0,1.0,,,,,,
314,109392,2512,0.019973409418445952,1.0,1.0,,,,,,,,,
315,109848,2520,0.020008155117107632,0.875,0.875,,,,,,,,,
316,110176,2528,0.030765770233760127,0.875,0.875,,,,,,,,,
317,110504,2536,0.03521474191779271,0.875,0.875,,,,,,,,,
318,110768,2544,0.03876629610753299,0.875,0.875,,,,,,,,,
319,111096,2552,0.044371229158597994,0.75,0.75,,,,,,,,,
320,111424,2560,0.03247100581834093,1.0,1.0,,,,,,,,,
321,111688,2568,0.04390612261689967,0.875,0.875,0.030705212534895897,0.875,0.875,,,,,,
322,112080,2576,0.027989304220488218,0.875,0.875,,,,,,,,,
323,112408,2584,0.022393112378573277,1.0,1.0,,,,,,,,,
324,112736,2592,0.0202512821261771,1.0,1.0,,,,,,,,,
325,113000,2600,0.03523319017840549,0.875,0.875,,,,,,,,,
326,113392,2608,0.028113860513694817,0.875,0.875,,,,,,,,,
327,113720,2616,0.021801662729587407,1.0,1.0,,,,,,,,,
328,114176,2624,0.02332242451424203,0.875,0.875,,,,,,,,,
329,114504,2632,0.03958440274232999,0.875,0.875,0.04034341443143785,0.875,0.875,,,,,,
330,114832,2640,0.01912236230820417,1.0,1.0,,,,,,,,,
331,115224,2648,0.02657333181336677,1.0,1.0,,,,,,,,,
332,115552,2656,0.04470619317618548,0.75,0.75,,,,,,,,,
333,115880,2664,0.024249364477735073,1.0,1.0,,,,,,,,,
334,116144,2672,0.04007694311447267,0.875,0.875,,,,,,,,,
335,116536,2680,0.030672105774040878,0.875,0.875,,,,,,,,,
336,116800,2688,0.04864772319910117,0.75,0.75,,,,,,,,,
337,117128,2696,0.028019972615118606,1.0,1.0,0.03750570519240379,0.75,0.75,,,,,,
338,117456,2704,0.025094166665629018,1.0,1.0,,,,,,,,,
339,117784,2712,0.03923866710765288,0.625,0.625,,,,,,,,,
340,118176,2720,0.02664058049364636,1.0,1.0,,,,,,,,,
341,118568,2728,0.028657122959072388,1.0,1.0,,,,,,,,,
342,119152,2736,0.017448904717392806,1.0,1.0,,,,,,,,,
343,119544,2744,0.030289957094695025,1.0,1.0,,,,,,,,,
344,119936,2752,0.04077121064993966,0.75,0.75,,,,,,,,,
345,120200,2760,0.03322298465520362,1.0,1.0,0.024530804616282695,1.0,1.0,,,,,,
346,120464,2768,0.04487425335137231,0.75,0.75,,,,,,,,,
347,120792,2776,0.028614530439605008,1.0,1.0,,,,,,,,,
348,121056,2784,0.04133634623096442,0.875,0.875,,,,,,,,,
349,121384,2792,0.034136117490750614,0.875,0.875,,,,,,,,,
350,121712,2800,0.03591181801492348,0.875,0.875,,,,,,,,,
351,122232,2808,0.023021234728566924,1.0,1.0,,,,,,,,,
352,122560,2816,0.026000250269484236,1.0,1.0,,,,,,,,,
353,122888,2824,0.017276194133854006,1.0,1.0,0.02032880851290039,1.0,1.0,,,,,,
354,123536,2832,0.02187588626210345,0.875,0.875,,,,,,,,,
355,123864,2840,0.030104943526268475,0.875,0.875,,,,,,,,,
356,124128,2848,0.04291358063180724,0.875,0.875,,,,,,,,,
357,124456,2856,0.02419500946137123,1.0,1.0,,,,,,,,,
358,124784,2864,0.03359601383225526,0.875,0.875,,,,,,,,,
359,125048,2872,0.048378797278473946,0.75,0.75,,,,,,,,,
360,125376,2880,0.03738725726759003,0.875,0.875,,,,,,,,,
361,125768,2888,0.03239240822254942,0.875,0.875,0.0355774347607512,0.875,0.875,,,,,,
362,126160,2896,0.029910593213862746,0.875,0.875,,,,,,,,,
363,126552,2904,0.026318211380857978,0.875,0.875,,,,,,,,,
364,126944,2912,0.029324174829525873,1.0,1.0,,,,,,,,,
365,127336,2920,0.025434817512650625,1.0,1.0,,,,,,,,,
366,127728,2928,0.022983313044339107,0.875,0.875,,,,,,,,,
367,128120,2936,0.030801737037060475,0.875,0.875,,,,,,,,,
368,128448,2944,0.029326251398917525,1.0,1.0,,,,,,,,,
369,128776,2952,0.029660421407839754,1.0,1.0,0.025756538485064605,1.0,1.0,,,,,,
370,129104,2960,0.04156736380897928,0.875,0.875,,,,,,,,,
371,129432,2968,0.02434061702142935,1.0,1.0,,,,,,,,,
372,129824,2976,0.03800483268287886,0.75,0.75,,,,,,,,,
373,130216,2984,0.018604390461211248,1.0,1.0,,,,,,,,,
374,130544,2992,0.0337945513218001,0.875,0.875,,,,,,,,,
375,130936,3000,0.02060350886729187,1.0,1.0,,,,,,,,,
376,131328,3008,0.035208904947309445,0.75,0.75,,,,,,,,,
377,131592,3016,0.023216627759866243,1.0,1.0,0.028148996818466304,0.875,0.875,,,,,,
378,131920,3024,0.030625729262246753,0.875,0.875,,,,,,,,,
379,132312,3032,0.022623667669637748,1.0,1.0,,,,,,,,,
380,132640,3040,0.03582971411451581,1.0,1.0,,,,,,,,,
381,132904,3048,0.02566190622132126,1.0,1.0,,,,,,,,,
382,133168,3056,0.03574505933152977,0.875,0.875,,,,,,,,,
383,133432,3064,0.023359726092894564,1.0,1.0,,,,,,,,,
384,133760,3072,0.04334544960758649,0.75,0.75,,,,,,,,,
385,134088,3080,0.03330529318621848,0.875,0.875,0.034343013918357125,0.75,0.75,,,,,,
